name,authentication_security,encryption_standards,access_control_mechanisms,license_management,update_and_patch_management,user_privacy_considerations,platform_independence,consumer_transparency,fair_use_facilitation,interoperability,Total DRM Score
Adobe Digital Editions,3.5999999999999996,3.3000000000000003,7.5,7.5,3,2,2,3,1.5,2,35.4
Apple Books,3.5999999999999996,3.3000000000000003,4.5,7.5,3,3,1,3,1.5,1,31.4
Audible,3.5999999999999996,3.3000000000000003,6.0,7.5,2,2,2,2,1.5,2,31.9
Apple Music,3.5999999999999996,3.3000000000000003,4.5,4.5,3,3,3,3,1.5,3,32.4
Amazon Prime Video,3.5999999999999996,3.3000000000000003,6.0,4.5,3,2,3,2,1.5,3,31.9
Netflix,3.5999999999999996,3.3000000000000003,6.0,7.5,3,3,3,3,1.5,3,36.9
Steam,3.5999999999999996,3.3000000000000003,4.5,4.5,3,2,3,3,3.0,3,32.9
Steam Mobile,3.5999999999999996,3.3000000000000003,3.0,4.5,3,2,3,3,3.0,3,31.4
eBooks.com,2.4,2.2,4.5,4.5,1,2,2,2,1.5,2,24.1
Ubisoft,3.5999999999999996,2.2,4.5,4.5,3,2,2,2,1.5,2,27.3
Electronic Arts (EA),3.5999999999999996,2.2,4.5,4.5,3,2,2,2,1.5,2,27.3
